iter	Passed	Remaining
142	1213	7274
143	1220	7252
144	1227	7236
145	1233	7217
146	1240	7198
147	1247	7179
148	1253	7158
149	1259	7139
150	1266	7119
151	1272	7101
152	1279	7081
153	1285	7062
154	1292	7043
155	1298	7022
156	1304	7003
157	1310	6983
158	1316	6964
159	1323	6948
160	1329	6928
161	1335	6910
162	1342	6892
163	1349	6878
164	1355	6860
165	1362	6843
166	1368	6826
167	1374	6807
168	1380	6789
169	1386	6771
170	1393	6755
171	1400	6741
172	1406	6725
173	1413	6708
174	1419	6691
175	1425	6674
176	1432	6659
177	1438	6641
178	1444	6624
179	1450	6607
180	1456	6591
181	1462	6574
182	1469	6559
183	1475	6542
184	1481	6527
185	1488	6513
186	1494	6498
187	1500	6482
188	1507	6467
189	1513	6454
190	1519	6438
191	1526	6423
192	1532	6408
193	1538	6393
194	1545	6380
195	1551	6363
196	1557	6349
197	1564	6335
198	1571	6327
199	1578	6314
200	1584	6300
201	1591	6285
202	1597	6270
203	1603	6257
204	1609	6243
205	1616	6230
206	1623	6218
207	1629	6205
208	1635	6190
209	1642	6177
210	1648	6163
211	1654	6151
212	1661	6137
213	1668	6126
214	1674	6114
215	1681	6101
216	1687	6088
217	1693	6075
218	1700	6062
219	1706	6049
220	1712	6036
221	1719	6024
222	1725	6012
223	1731	5999
224	1739	5990
225	1745	5978
226	1752	5967
227	1759	5957
228	1765	5944
229	1772	5933
230	1778	5920
231	1785	5909
232	1791	5898
233	1798	5886
234	1804	5875
235	1811	5864
236	1817	5852
237	1824	5841
238	1831	5830
239	1837	5819
240	1844	5807
241	1850	5797
242	1857	5786
243	1863	5775
244	1870	5763
245	1876	5752
246	1883	5740
247	1889	5729
248	1896	5718
249	1902	5706
250	1908	5695
251	1914	5683
252	1921	5671
253	1927	5661
254	1934	5651
255	1941	5641
256	1947	5630
257	1954	5619
258	1960	5609
259	1967	5598
260	1975	5592
261	1982	5584
262	1989	5575
263	1995	5564
264	2002	5553
265	2009	5544
266	2015	5533
267	2021	5522
268	2028	5512
269	2035	5502
270	2041	5490
271	2047	5479
272	2053	5469
273	2065	5472
274	2075	5471
275	2086	5472
276	2093	5464
277	2100	5455
278	2108	5448
279	2115	5439
280	2122	5431
281	2129	5422
282	2137	5414
283	2144	5405
284	2150	5395
285	2157	5387
286	2164	5377
287	2171	5368
288	2177	5358
289	2184	5348
290	2190	5337
291	2197	5328
292	2204	5318
293	2210	5308
294	2216	5297
295	2224	5290
296	2231	5282
297	2238	5272
298	2245	5264
299	2252	5255
300	2260	5248
301	2266	5238
302	2273	5230
303	2280	5220
304	2287	5212
305	2294	5204
306	2301	5194
307	2307	5185
308	2314	5176
309	2321	5166
310	2327	5157
311	2334	5147
312	2340	5138
313	2347	5129
314	2355	5122
315	2362	5113
316	2369	5104
317	2375	5094
318	2381	5084
319	2387	5074
320	2394	5064
321	2400	5054
322	2406	5043
323	2411	5032
324	2417	5021
325	2424	5012
326	2430	5001
327	2436	4991
328	2442	4981
329	2448	4971
330	2455	4962
331	2461	4952
332	2467	4943
333	2473	4932
334	2479	4922
335	2486	4913
336	2492	4904
337	2499	4895
338	2505	4885
339	2511	4875
340	2517	4865
341	2524	4856
342	2530	4847
343	2537	4838
344	2543	4828
345	2549	4819
346	2556	4810
347	2562	4800
348	2568	4791
349	2575	4782
350	2581	4773
351	2588	4764
352	2594	4754
353	2601	4746
354	2607	4737
355	2613	4727
356	2619	4718
357	2626	4709
358	2632	4699
359	2638	4691
360	2645	4681
361	2651	4673
362	2658	4664
363	2664	4654
364	2671	4647
365	2677	4638
366	2683	4629
367	2690	4619
368	2696	4610
369	2702	4602
370	2709	4593
371	2715	4584
372	2721	4575
373	2728	4567
374	2735	4558
375	2742	4550
376	2749	4543
377	2756	4535
378	2763	4527
379	2769	4518
380	2776	4511
381	2783	4503
382	2790	4496
383	2797	4488
384	2804	4480
385	2811	4471
386	2817	4463
387	2824	4454
388	2830	4446
389	2837	4437
390	2843	4429
391	2850	4420
392	2856	4412
393	2862	4403
394	2870	4396
395	2877	4388
396	2884	4380
397	2890	4371
398	2896	4362
399	2903	4354
400	2909	4345
401	2915	4336
402	2922	4328
403	2930	4323
404	2938	4316
405	2945	4309
406	2952	4301
407	2960	4295
408	2967	4287
409	2974	4280
410	2981	4272
411	2989	4266
